id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
1 , "3HSPJ000116.4+293534" , "" , "00 01 16.37" , "+29 35 34.0" , "4" , "" , "-12.9?" , 0.05 , "" , "" , "2WHSPJ000116.3+293534"
2 , "3HSPJ000117.1-315043" , "" , "00 01 17.08" , "-31 50 43.0" , "7.2" , "0.23" , "-12.3?" , 0.2 , "" , "" , "2WHSPJ000116.9-315043"
3 , "3HSPJ000132.7-415525" , "" , "00 01 32.74" , "-41 55 24.99" , "13.2" , "0.34" , "-11.7" , 0.79 , "4FGL J0001.6-4156" , "2.09" , "2WHSPJ000132.6-415524"
4 , "3HSPJ000158.1-115047" , "" , "00 01 58.14" , "-11 50 47.0" , "3.3" , "0.11" , "-12.5" , 0.13 , "" , "" , "2WHSPJ000158.0-115047"
5 , "3HSPJ000215.2-672653" , "" , "00 02 15.18" , "-67 26 53.01" , "21.4" , "0.27" , "-11.8" , 0.63 , "4FGL J0002.1-6728" , "1.95" , "2WHSPJ000215.1-672653"
6 , "3HSPJ000236.1-081532" , "" , "00 02 36.06" , "-08 15 32.0" , "29" , "0.19" , "-12.3" , 0.2 , "" , "" , "2WHSPJ000236.0-081532"
7 , "3HSPJ000319.6-524727" , "" , "00 03 19.56" , "-52 47 26.98" , "65.3" , "0.64" , "-11.9" , 0.5 , "4FGL J0003.1-5248" , "1.9" , "2WHSPJ000319.5-524726"
8 , "3HSPJ000513.7-261438" , "" , "00 05 13.72" , "-26 14 38.0" , "37.4" , "" , "-12.6" , 0.1 , "" , "" , "2WHSPJ000513.6-261438"
9 , "3HSPJ000553.0-284503" , "" , "00 05 52.98" , "-28 45 02.98" , "5" , "0.07" , "-12.5" , 0.13 , "" , "" , "2WHSPJ000552.9-284502"
10 , "3HSPJ000626.9+013610" , "" , "00 06 26.89" , "+01 36 10.0" , "7.5" , "0.12" , "-12.6" , 0.1 , "4FGL J0006.4+0135" , "2.19" , "2WHSPJ000626.8+013610"
11 , "3HSPJ000701.6+510500" , "" , "00 07 01.59" , "+51 04 59.98" , "4.4" , "0.15" , "-12.4" , 0.16 , "" , "" , "2WHSPJ000701.5+510459"
12 , "3HSPJ000835.4-233927" , "5BZBJ0008-2339" , "00 08 35.38" , "-23 39 26.99" , "36.3" , "0.47" , "-11.7" , 0.79 , "4FGL J0008.4-2339" , "1.6" , "2WHSPJ000835.2-233926"
13 , "3HSPJ000922.7+503028" , "5BZBJ0009+5030" , "00 09 22.74" , "+50 30 28.0" , "12.3" , "0.16" , "-11.8" , 0.63 , "4FGL J0009.3+5030" , "1.93" , "2WHSPJ000922.6+503028"
14 , "3HSPJ000949.7-431650" , "" , "00 09 49.74" , "-43 16 50.01" , "51" , "0.31" , "-12" , 0.4 , "4FGL J0009.8-4317" , "2.1" , "2WHSPJ000949.6-431650"
15 , "3HSPJ000957.2+134058" , "" , "00 09 57.22" , "+13 40 58.0" , "18.6" , "0.29" , "-12.1" , 0.32 , "" , "" , "2WHSPJ000957.1+134058"
16 , "3HSPJ001011.1+334851" , "" , "00 10 11.7" , "+33 48 51.01" , "17.1" , "0.22" , "-11.9" , 0.5 , "" , "" , "2WHSPJ001011.7+334851"
17 , "3HSPJ001042.7-130817" , "" , "00 10 42.66" , "-13 08 17.01" , "2.7" , "0.06" , "-12.6" , 0.1 , "" , "" , "2WHSPJ001042.6-130817"
18 , "3HSPJ001253.9-162656" , "" , "00 12 53.86" , "-16 26 56.0" , "10.1" , "0.08" , "-12.3" , 0.2 , "" , "" , "2WHSPJ001253.8-162656"
19 , "3HSPJ001328.1+094930" , "" , "00 13 28.8" , "+09 49 29.99" , "31.1" , "0.7" , "-11.8" , 0.63 , "1BIGB_J001328.8+094929" , "2.35" , "2WHSPJ001328.8+094929"
20 , "3HSPJ001356.0-185406" , "5BZGJ0013-1854" , "00 13 56.03" , "-18 54 06.01" , "29.6" , "2.02" , "-11.3" , 2 , "4FGL J0013.9-1854" , "1.94" , "2WHSPJ001355.9-185406"
21 , "3HSPJ001411.5-502234" , "5BZBJ0014-5022" , "00 14 11.45" , "-50 22 33.99" , "15.1" , "1.12" , "-11.6" , 1 , "4FGL J0014.1-5022" , "1.92" , "2WHSPJ001411.3-502233"
22 , "3HSPJ001442.1+162126" , "" , "00 14 42.07" , "+16 21 25.99" , "5.7" , "0.1" , "-12.8?" , 0.06 , "" , "" , "2WHSPJ001441.9+162125"
23 , "3HSPJ001442.1+580201" , "5BZBJ0014+5802" , "00 14 42.09" , "+58 02 00.99" , "7.7" , "0.85" , "-11.7?" , 0.79 , "4FGL J0014.7+5801" , "1.91" , ""
24 , "3HSPJ001528.0+353639" , "5BZBJ0015+3536" , "00 15 27.96" , "+35 36 38.98" , "11.2" , "0.52" , "-12" , 0.4 , "4FGL J0015.2+3537" , "1.98" , "2WHSPJ001527.8+353638"
25 , "3HSPJ001540.1+555144" , "" , "00 15 40.13" , "+55 51 43.99" , "85" , "1.1" , "-11.2" , 2.51 , "4FGL J0015.6+5551" , "2.11" , ""
26 , "3HSPJ001541.9+121845" , "" , "00 15 41.86" , "+12 18 45.0" , "6.8" , "0.14" , "-12.4" , 0.16 , "" , "" , "2WHSPJ001541.8+121845"
27 , "3HSPJ001827.8+294730" , "5BZBJ0018+2947" , "00 18 27.78" , "+29 47 30.01" , "33.8" , "1.27" , "-11.4" , 1.58 , "4FGL J0018.4+2946" , "1.86" , "2WHSPJ001827.7+294730"
28 , "3HSPJ001916.0+053148" , "" , "00 19 16.2" , "+05 31 48.0" , "4" , "0.06" , "-12.9?" , 0.05 , "" , "" , "2WHSPJ001916.1+053148"
29 , "3HSPJ002200.1-514024" , "5BZBJ0022-5140" , "00 22 00.07" , "-51 40 23.98" , "20" , "0.65" , "-11.2" , 2.51 , "4FGL J0021.9-5140" , "1.99" , "2WHSPJ002200.0-514023"
30 , "3HSPJ002201.0+000658" , "5BZGJ0022+0006" , "00 22 00.95" , "+00 06 57.99" , "1.7" , "0.3" , "-11.8" , 0.63 , "4FGL J0022.0+0006" , "1.47" , "2WHSPJ002200.9+000657"
31 , "3HSPJ002209.6-670510" , "" , "00 22 09.55" , "-67 05 09.99" , "" , "0.12" , "-12.3?" , 0.2 , "" , "" , "2WHSPJ002209.4-670509"
32 , "3HSPJ002255.0-341347" , "" , "00 22 54.96" , "-34 13 46.99" , "12.2" , "0.02" , "-12.5" , 0.13 , "" , "" , "2WHSPJ002254.8-341346"
33 , "3HSPJ002259.0-244022" , "" , "00 22 59.03" , "-24 40 22.0" , "27.4" , "" , "-12.1" , 0.32 , "" , "" , "2WHSPJ002258.9-244022"
34 , "3HSPJ002611.6-073115" , "" , "00 26 11.62" , "-07 31 14.98" , "9.9" , "" , "-12.1" , 0.32 , "4FGL J0026.1-0732" , "2.07" , ""
35 , "3HSPJ002635.6-460109" , "5BZBJ0026-4601" , "00 26 35.61" , "-46 01 09.01" , "38.7" , "1.51" , "-11.7" , 0.79 , "4FGL J0026.6-4600" , "2.45" , "2WHSPJ002635.5-460109"
36 , "3HSPJ002928.1+205333" , "" , "00 29 28.6" , "+20 53 32.99" , "11.4" , "" , "-12.3" , 0.2 , "4FGL J0029.4+2051" , "1.46" , "2WHSPJ002928.6+205332"
37 , "3HSPJ003020.4-164713" , "" , "00 30 20.41" , "-16 47 12.98" , "9.5" , "0.13" , "-11.7" , 0.79 , "4FGL J0030.2-1647" , "1.65" , "2WHSPJ003020.4-164712"
38 , "3HSPJ003119.1+072453" , "" , "00 31 19.7" , "+07 24 52.99" , "12.2" , "0.04" , "-11.9" , 0.5 , "4FGL J0031.3+0726" , "1.82" , ""
39 , "3HSPJ003120.5-233401" , "" , "00 31 20.53" , "-23 34 00.98" , "2.8" , "0.23" , "-12.1" , 0.32 , "4FGL J0031.0-2327" , "2.19" , "2WHSPJ003120.5-233400"
40 , "3HSPJ003120.8+051333" , "" , "00 31 20.79" , "+05 13 32.98" , "9.1" , "" , "-12.1" , 0.32 , "" , "" , "2WHSPJ003120.6+051332"
41 , "3HSPJ003222.6-472536" , "" , "00 32 22.56" , "-47 25 36.01" , "13.2" , "0.14" , "-12.2" , 0.25 , "" , "" , "2WHSPJ003222.5-472536"
42 , "3HSPJ003322.5-203908" , "" , "00 33 22.46" , "-20 39 07.99" , "8.7" , "0.77" , "-11.9" , 0.5 , "" , "" , "2WHSPJ003322.3-203907"
43 , "3HSPJ003333.2+502956" , "" , "00 33 33.24" , "+50 29 56.0" , "16.5" , "0.52" , "-12.4" , 0.16 , "" , "" , "2WHSPJ003333.1+502956"
44 , "3HSPJ003334.4-192132" , "5BZBJ0033-1921" , "00 33 34.36" , "-19 21 32.0" , "18.9" , "1.27" , "-11.2" , 2.51 , "4FGL J0033.5-1921" , "1.71" , "2WHSPJ003334.3-192132"
45 , "3HSPJ003358.8+390631" , "" , "00 33 58.81" , "+39 06 30.99" , "5.7" , "0.18" , "-12.5" , 0.13 , "4FGL J0033.9+3858" , "2.53" , "2WHSPJ003358.7+390630"
46 , "3HSPJ003514.1+151504" , "5BZBJ0035+1515" , "00 35 14.7" , "+15 15 03.99" , "18.8" , "0.33" , "-11.4" , 1.58 , "4FGL J0035.2+1514" , "1.81" , "2WHSPJ003514.6+151503"
47 , "3HSPJ003532.9-131714" , "" , "00 35 32.89" , "-13 17 13.99" , "10.6" , "0.06" , "-12.2" , 0.25 , "" , "" , "2WHSPJ003532.8-131713"
48 , "3HSPJ003539.6-181651" , "" , "00 35 39.61" , "-18 16 50.98" , "40.9" , "0.15" , "-11.9" , 0.5 , "" , "" , "2WHSPJ003539.5-181650"
49 , "3HSPJ003552.6+595004" , "5BZBJ0035+5950" , "00 35 52.62" , "+59 50 03.98" , "148.5" , "2.88" , "-10.3" , 19.95 , "4FGL J0035.9+5950" , "1.9" , ""
50 , "3HSPJ003631.7-031326" , "" , "00 36 31.68" , "-03 13 26.0" , "20.2" , "0.19" , "-12.4?" , 0.16 , "" , "" , "2WHSPJ003631.6-031326"
51 , "3HSPJ003736.2-230225" , "" , "00 37 36.23" , "-23 02 25.0" , "18.1" , "0.19" , "-12.5?" , 0.13 , "" , "" , "2WHSPJ003736.1-230225"
